experimento,semilla,poblacion,generaciones,mutacion,elitismo,distancia_total,carga_total,clientes_no_asignados,tiempo_segundos
Experimento 1,42,50,100,0.1,0.1,69.14,101,0,3.11
Experimento 2,101,100,200,0.05,0.2,64.4,101,0,10.57
Experimento 3,202,150,100,0.2,0.0,64.4,101,0,9.62
